coin,N_google_news
consentium,0
robotina,0
stockchain,0
essentia,0
lemochain,0
asura-coin,0
insureum,0
kwhcoin,0
chex,0
baasid,0
bankera,0
zen-protocol,0
sphre-air,0
kingxchain,0
divi,0
gazecoin,0
ubcoin-market,0
agrolot,0
rocket-pool,0
celsius,0
starcoin,0
incodium,0
future1coin,0
jsecoin,0
bitnation,0
karma,0
blockpass,0
zengold,0
budbo,0
alttex,0
cryptaldash,0
hybrid-block,0
deex,0
record,0
nuggets,0
pecunio,0
mir-coin,0
contractnet,0
hero,0
able,0
stex,0
fapcoin,0
minex,0
plexcoin,0
indicoin,0
centaure,0
etherecash,0
salpay,0
saifu,0
xtrd,0
amo-coin,0
internxt,0
solomon-exchange,0
kybernetwork,0
kickico,0
smart-investment-fund-token,0
trackr,0
propy,0
bitdice,0
aventus,0
enigma-catalyst,0
ahoolee,0
stuffgogo,0
rivetz,0
onegram,0
filecoin,0
fujinto,0
revain,0
substratum,0
coss,0
indorse,0
viberate,0
finshi-capital,0
moeda,0
atb-coin,0
dmarket,0
dimcoin,0
opus,0
paquarium,0
agrello,0
tierion,0
suncontract,0
fundyourselfnow,0
blocktix,0
rootproject,0
primalbase,0
dent,0
skincoin,0
gilgam,0
pillar,0
coindash,0
mothership,0
bitquence,0
sonm,0
orocrypt,0
tezos,0
insurex,0
nimiq,0
onplace,0
polybius,0
santiment,0
openanx,0
starta,0
crypviser,0
encryptotel,0
adex,0
blockpool,0
dcorp,0
21-million,0
idice,0
wagerr,0
cryptoping,0
nvo,0
tenx,0
omisego,0
civic,0
status,0
monaco,0
bancor,0
zrcoin,0
ecobit,0
cofound.it,0
voise,0
patientory,0
embermine,0
basic-attention-token,0
exscudo,0
mysterium-network,0
suretly,0
veritaseum,0
metal,0
mobilego,0
storj,0
e4row,0
aragon,0
peerplays,0
ethbits,0
boscoin,0
tokencard,0
lunyr,0
back-to-earth,0
taas,0
humaniq,0
gnosis,0
wetrust,0
blockchain-capital,0
aeternity,0
matchpool,0
equibit,0
qtum,0
edgeless,0
augmentors,0
etheroll,0
melon,0
chronobank,0
tokes,0
wings,0
betking,0
darcrus,0
blockcdn,0
vdice,0
ark,0
golos,0
incent,0
beyond-the-void,0
arcade-city,0
komodo,0
golem,0
decent,0
synereo,0
singulardtv,0
iconomi,0
blockpay,0
waves,0
plutus,0
project-decorum,0
digixdao,0
iota,0
augur,0
neucoin,0
