#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
55,Mixin,XIN,"$437,407,117",$1039.35,"420,847","$699,542",-0.32%,-2.25%,-23.66%
56,Aion,AION,"$435,440,246",$3.27,"133,073,439","$5,535,040",0.94%,-5.65%,-14.64%
57,Basic Attenti...,BAT,"$409,122,000",$0.409122,"1,000,000,000","$5,009,470",0.04%,-5.54%,-10.35%
58,aelf,ELF,"$385,535,000",$1.54,"250,000,000","$58,491,300",0.33%,-7.00%,-19.97%
59,Komodo,KMD,"$382,327,526",$3.67,"104,059,336","$3,674,870",-0.11%,-8.00%,-11.11%
60,DNotes,NOTE,"$382,041,032",$2.48,"153,878,172","$1,139",?,-2.63%,> 9000%
61,Ardor,ARDR,"$381,077,348",$0.381459,"998,999,495","$2,885,930",0.05%,-5.95%,-6.07%
62,WaykiChain,WICC,"$362,777,622",$2.53,"143,400,000","$31,019,800",1.42%,-0.44%,52.70%
63,Mithril,MITH,"$360,693,416",$1.18,"305,054,522","$59,070,200",0.76%,-8.58%,0.02%
64,Nebulas,NAS,"$354,318,755",$9.98,"35,500,000","$38,943,500",0.74%,-6.24%,1.77%
65,Ark,ARK,"$343,708,358",$3.36,"102,382,520","$1,527,080",-0.20%,-4.41%,-11.89%
66,Gas,GAS,"$324,479,715",$32.04,"10,128,375","$4,141,650",3.88%,0.19%,2.74%
67,KuCoin Shares,KCS,"$320,315,345",$4.23,"75,730,576","$762,323",0.40%,-8.96%,-0.88%
68,PIVX,PIVX,"$301,389,316",$5.37,"56,140,321","$5,452,560",0.61%,-4.22%,-5.17%
69,Loom Network,LOOM,"$291,183,755",$0.505095,"576,493,047","$22,278,000",-1.52%,-9.78%,54.79%
70,Kyber Network,KNC,"$289,533,474",$2.16,"134,132,697","$22,294,500",0.16%,-8.60%,-21.14%
71,Substratum,SUB,"$288,133,293",$0.752265,"383,021,000","$10,677,800",-0.22%,-0.34%,-10.31%
72,FunFair,FUN,"$288,013,258",$0.059278,"4,858,654,389","$24,478,100",9.19%,15.57%,23.31%
73,Elastos,ELA,"$286,986,089",$55.95,"5,129,267","$27,887,800",1.92%,-2.86%,13.83%
74,ReddCoin,RDD,"$282,819,459",$0.009817,"28,808,713,174","$13,287,200",1.66%,-1.26%,7.72%
75,Pundi X,NPXS,"$282,229,136",$0.004594,"61,438,169,970","$2,209,270",0.96%,-1.27%,6.15%
76,MonaCoin,MONA,"$271,213,565",$4.57,"59,284,375","$3,871,620",1.19%,-10.91%,-12.84%
77,Cryptonex,CNX,"$269,653,279",$5.96,"45,256,368","$1,784,150",2.87%,-0.33%,-4.62%
78,QASH,QASH,"$263,783,450",$0.753667,"350,000,000","$2,503,510",1.22%,-4.85%,-17.07%
79,Centrality,CENNZ,"$262,283,286",$0.376673,"696,315,600","$273,833",1.06%,-7.77%,-15.14%
80,Bancor,BNT,"$260,013,540",$5.05,"51,520,272","$15,908,600",0.31%,-5.24%,9.10%
81,Cortex,CTXC,"$258,149,326",$1.72,"149,792,458","$100,791,000",0.80%,-7.76%,-22.86%
82,Syscoin,SYS,"$255,349,344",$0.478814,"533,295,484","$4,067,280",0.42%,-4.01%,-13.51%
83,Ethos,ETHOS,"$235,036,282",$3.07,"76,496,756","$6,727,230",0.69%,-5.93%,-16.68%
84,GXChain,GXS,"$234,131,400",$3.90,"60,000,000","$13,882,800",0.45%,-6.92%,-7.65%
85,Storm,STORM,"$230,308,232",$0.056287,"4,091,706,234","$31,212,900",0.70%,-7.09%,-14.08%
86,Dragonchain,DRGN,"$227,518,189",$0.954267,"238,421,940","$3,334,590",-0.36%,-3.21%,-19.40%
87,BitcoinDark,BTCD,"$225,019,871",$174.59,"1,288,862","$72,105",0.45%,39.24%,65.22%
88,Nxt,NXT,"$224,125,637",$0.224350,"998,999,942","$5,429,180",0.11%,-4.09%,6.63%
89,Dentacoin,DCN,"$223,359,784",$0.000687,"325,226,613,094","$284,795",-1.67%,-8.03%,-15.25%
90,WAX,WAX,"$222,461,912",$0.357752,"621,832,756","$3,205,150",0.89%,-2.37%,5.44%
91,Veritaseum,VERI,"$221,992,316",$109.00,"2,036,645","$652,213",1.79%,-8.88%,1.02%
92,Fusion,FSN,"$218,460,351",$7.36,"29,684,331","$7,481,130",-0.79%,-13.07%,12.33%
93,SALT,SALT,"$209,621,967",$3.58,"58,617,971","$8,062,840",0.57%,-4.82%,-15.98%
94,ZCoin,XZC,"$205,514,018",$43.79,"4,693,237","$2,459,490",-0.58%,-5.07%,-1.40%
95,Factom,FCT,"$201,478,405",$23.04,"8,745,102","$1,808,110",-0.89%,-6.81%,-20.32%
96,Gifto,GTO,"$200,190,963",$0.465886,"429,699,461","$29,394,800",0.37%,-1.44%,-10.22%
97,All Sports,SOC,"$196,010,450",$0.264609,"740,755,038","$72,140,100",-0.86%,4.94%,177.86%
98,Electroneum,ETN,"$192,222,061",$0.027805,"6,913,244,119","$1,885,890",0.15%,-7.35%,13.02%
99,BnkToTheFuture,BFT,"$192,026,022",$0.304808,"629,990,099","$1,158,320",2.02%,-7.56%,9.91%
100,Enigma,ENG,"$189,828,683",$2.54,"74,836,171","$6,267,030",0.36%,-4.87%,-8.69%
101,CyberMiles,CMT,"$188,625,506",$0.297573,"633,879,774","$105,761,000",-1.06%,-9.33%,11.38%
102,ChainLink,LINK,"$187,411,000",$0.535460,"350,000,000","$10,675,100",0.32%,0.80%,3.87%
103,Polymath,POLY,"$186,876,765",$0.778654,"239,999,750","$7,383,580",0.37%,-13.08%,50.08%
104,Power Ledger,POWR,"$184,963,881",$0.500901,"369,262,352","$8,256,150",-0.34%,-8.03%,-11.85%
105,Nucleus Vision,NCASH,"$181,385,188",$0.044037,"4,118,936,344","$15,170,600",0.18%,-2.41%,-3.64%
106,Skycoin,SKY,"$177,913,973",$21.39,"8,319,374","$2,601,720",-1.89%,7.96%,15.80%
107,Matrix AI Net...,MAN,"$177,744,000",$1.18,"150,000,000","$1,537,080",0.22%,-8.15%,23.78%
108,Revain,R,"$176,702,394",$0.947720,"186,450,000","$2,393,030",0.71%,-3.45%,-0.84%
109,Request Network,REQ,"$171,655,912",$0.258923,"662,961,235","$2,128,330",-0.98%,-6.81%,-1.66%
110,Neblio,NEBL,"$171,385,308",$13.11,"13,072,370","$9,725,020",0.24%,-8.30%,-16.58%
111,Achain,ACT,"$171,110,644",$0.357705,"478,356,869","$24,877,900",-0.07%,-7.48%,2.92%
112,Monaco,MCO,"$169,553,094",$10.74,"15,793,831","$20,980,000",-0.47%,-6.48%,-10.32%
113,Byteball Bytes,GBYTE,"$165,376,390",$256.02,"645,946","$141,030",-0.34%,-4.03%,-2.77%
114,MaidSafeCoin,MAID,"$160,757,478",$0.355224,"452,552,412","$722,383",0.46%,-4.94%,-5.31%
115,Decentraland,MANA,"$157,186,231",$0.149681,"1,050,141,509","$9,057,520",-0.05%,-7.93%,-3.01%
116,DeepBrain Chain,DBC,"$156,627,000",$0.104418,"1,500,000,000","$3,087,650",0.25%,-10.49%,-10.45%
117,Iconomi,ICN,"$151,081,613",$1.51,"99,735,687","$1,442,550",-0.05%,-4.04%,-4.18%
118,TenX,PAY,"$150,118,086",$1.38,"109,004,761","$3,405,960",0.55%,-7.59%,-9.96%
119,Paypex,PAYX,"$147,375,038",$2.15,"68,428,768","$38,273",-0.45%,-5.58%,17.52%
120,ZenCash,ZEN,"$146,012,082",$38.54,"3,788,900","$803,254",-0.55%,-5.89%,-6.05%
121,Nuls,NULS,"$145,789,600",$3.64,"40,000,000","$14,904,100",0.81%,-4.29%,-11.33%
122,Quantstamp,QSP,"$145,440,453",$0.235602,"617,314,171","$6,815,760",1.11%,4.20%,14.48%
123,Cindicator,CND,"$144,008,279",$0.099592,"1,445,976,590","$1,970,670",-0.07%,-5.63%,-8.63%
124,Emercoin,EMC,"$143,597,729",$3.44,"41,693,954","$1,310,170",0.47%,-8.65%,8.07%
125,Storj,STORJ,"$143,444,598",$1.06,"135,787,539","$7,651,350",0.25%,-7.21%,-8.32%
126,Particl,PART,"$143,339,737",$16.01,"8,954,704","$1,483,190",2.05%,-1.32%,-3.24%
127,Kin,KIN,"$141,253,390",$0.000187,"756,097,560,976","$983,757",0.90%,-19.34%,-22.49%
128,Time New Bank,TNB,"$138,145,508",$0.058495,"2,361,679,677","$17,120,800",0.46%,-12.28%,7.94%
129,POA Network,POA,"$135,624,993",$0.663458,"204,421,369","$4,477,690",0.60%,-7.95%,-9.36%
130,Nexus,NXS,"$135,327,641",$2.37,"57,116,176","$1,957,740",1.20%,-7.46%,0.32%
131,Civic,CVC,"$134,968,955",$0.393840,"342,699,966","$3,165,540",-0.48%,-7.86%,-3.43%
132,Huobi Token,HT,"$133,442,534",$2.67,"50,000,200","$49,860,800",0.47%,1.61%,13.61%
133,Arcblock,ABT,"$129,914,215",$1.39,"93,196,613","$29,989,600",-0.48%,-8.05%,7.23%
134,Bottos,BTO,"$127,574,878",$0.267444,"477,015,294","$7,940,800",0.20%,-6.11%,24.18%
135,iExec RLC,RLC,"$125,481,342",$1.57,"80,070,793","$907,805",0.04%,-6.11%,-4.88%
136,Gnosis,GNO,"$122,675,765",$111.06,"1,104,590","$631,602",-0.11%,-4.15%,1.51%
137,Ignis,IGNIS,"$122,218,406",$0.160572,"761,143,950","$7,179,210",-0.01%,-1.14%,46.71%
138,Dent,DENT,"$122,197,128",$0.011512,"10,614,760,961","$6,602,130",2.21%,-14.07%,5.27%
139,Aragon,ANT,"$120,243,346",$4.56,"26,369,502","$987,637",0.38%,-1.09%,3.68%
140,SIRIN LABS Token,SRN,"$118,918,891",$0.518712,"229,258,029","$40,001,600",-0.94%,-9.82%,-7.13%
141,Genaro Network,GNX,"$117,660,816",$0.487942,"241,136,889","$5,882,400",-1.11%,-15.23%,-4.26%
142,SingularityNET,AGI,"$115,474,427",$0.213971,"539,673,260","$736,328",-0.16%,-10.20%,-7.37%
143,DigitalNote,XDN,"$115,003,369",$0.016652,"6,906,404,063","$7,707,220",-0.03%,-12.46%,22.88%
144,Apex,CPX,"$114,909,993",$0.279298,"411,424,333","$1,991,880",-0.11%,-10.60%,-2.90%
145,Po.et,POE,"$114,205,395",$0.050155,"2,277,026,355","$3,309,090",1.24%,-4.67%,-14.99%
146,Ruff,RUFF,"$113,239,443",$0.122846,"921,800,000","$10,527,800",1.25%,-9.93%,-14.55%
147,Metal,MTL,"$112,308,828",$4.64,"24,212,368","$15,104,200",-1.33%,-6.93%,-8.85%
148,Vertcoin,VTC,"$112,295,577",$2.55,"44,101,125","$1,770,370",3.66%,-0.39%,-6.73%
149,Enjin Coin,ENJ,"$111,162,571",$0.147003,"756,192,535","$14,337,300",0.14%,-6.44%,-10.70%
150,Scry.info,DDD,"$109,815,746",$0.365983,"300,056,960","$1,630,440",-0.03%,-5.17%,27.98%
151,High Performa...,HPB,"$109,777,660",$3.70,"29,702,632","$7,374,430",0.78%,-6.24%,3.49%
152,Santiment Net...,SAN,"$109,264,648",$1.74,"62,660,371","$2,964,560",0.64%,-8.66%,-7.38%
153,Ambrosus,AMB,"$109,227,059",$0.755421,"144,590,975","$3,847,910",-0.21%,-1.84%,-0.60%
154,SmartMesh,SMT,"$107,534,360",$0.076065,"1,413,716,694","$1,385,920",-1.51%,-9.47%,-35.04%
155,Delphy,DPY,"$105,578,679",$2.64,"40,041,673","$9,109,780",0.74%,10.81%,102.06%
156,Bitcore,BTX,"$104,343,040",$6.73,"15,494,014","$611,447",1.96%,-9.26%,-2.72%
157,Bluzelle,BLZ,"$103,287,751",$0.577336,"178,904,053","$4,644,080",0.00%,-9.70%,-19.97%
158,BOScoin,BOS,"$103,229,186",$0.232413,"444,162,703","$628,545",1.18%,-6.25%,-29.23%
159,TokenPay,TPAY,"$103,040,574",$6.71,"15,346,436","$423,771",-0.64%,-2.96%,-18.62%
160,GameCredits,GAME,"$102,262,585",$1.59,"64,355,352","$789,612",-0.62%,-8.18%,-12.88%
161,Theta Token,THETA,"$102,112,919",$0.162446,"628,596,079","$7,081,760",0.35%,1.76%,11.05%
162,Raiden Networ...,RDN,"$101,038,230",$2.01,"50,168,936","$2,719,360",0.93%,-9.60%,-9.78%
163,Litecoin Cash,LCC,"$100,972,245",$0.177871,"567,671,207","$180,196",0.16%,-8.56%,-18.74%
164,Game.com,GTC,"$99,781,509",$0.166782,"598,275,046","$9,841,440",0.34%,-7.77%,-7.95%
