coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,180.0,1,saas,14,60000000.0,60000000.0,1.0,2.0,12168,2,23073,N/A,N/A,1.17,995797,-0.168,0.167,2.648,2.604,-0.129,-1.016,0.009,0.01
iexec-rlc,17 Apr 2017,10 May 2017,23.0,400.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,0,N/A,N/A,N/A,0.593,151637,0.29,0.168,2.662,2.612,-0.102,-1.359,0.009,0.009
crypto20,16 Oct 2017,30 Nov 2017,45.0,196.0,1,fintech,6,37698373.0,75396746.0,0.5,1.1,N/A,4,9624,N/A,N/A,2.373,5672340,-0.206,-0.204,-3.238,-3.326,-0.103,-0.463,-0.007,-0.007
ambrosus,22 Sep 2017,22 Oct 2017,30.0,235.0,6,insurance services,20,32507330.0,98507061.0,0.33,0.29,4240,6,17208,N/A,N/A,-0.45,35697,0.095,0.119,1.895,1.933,0.209,-1.185,0.009,-0.004
decentbet,21 Sep 2017,19 Oct 2017,28.0,238.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,0.815,26234,-0.027,0.147,2.341,2.371,-0.381,-3.15,0.009,0.002
medicalchain,1 Feb 2018,1 Feb 2018,0.0,133.0,4,insurance services,10,23991953.0,23991953.0,1.0,0.2,26636,10,15843,N/A,N/A,0.588,122744,-0.117,-0.26,-4.129,-4.043,-0.069,0.008,-0.008,-0.008
cofound.it,31 May 2017,07 Jun 2017,7.0,379.0,5,fintech,9,14820030.0,14820030.0,1.0,0.12,1086,5,N/A,N/A,N/A,1.682,3663160,-0.201,0.04,0.643,0.652,0.007,-1.689,0.0,-0.003
bloom,30 Nov 2017,1 Jan 2018,32.0,164.0,1,saas,5,41420705.0,81217069.0,0.51,0.7,13413,4,445,N/A,N/A,1.714,101651,-0.316,-0.147,-2.332,-2.321,-0.104,-0.975,-0.008,-0.001
matchpool,2 Apr 2017,4 Apr 2017,2.0,436.0,12,saas,7,5800000.0,N/A,N/A,0.1,2204,13,N/A,N/A,N/A,1.41,610,0.177,0.116,1.842,1.844,0.07,0.45,0.022,-0.0
agrello,16 Jul 2017,17 Aug 2017,32.0,301.0,5,saas,7,30100000.0,43000000.0,0.7,0.56,4838,2,14931,N/A,N/A,-0.284,82770,-0.054,0.004,0.058,0.067,-0.05,-3.671,0.004,-0.003
friendz,1 Mar 2018,20 Mar 2018,19.0,86.0,6,fintech,13,13754758.0,50943548.0,0.27,0.067,68853,8,55779,N/A,N/A,-0.704,250482,0.157,0.065,1.024,1.036,-0.359,-2.217,0.002,0.003
locktrip,29 Oct 2017,30 Nov 2017,32.0,196.0,5,other,20,4000000.0,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,0.0,169077,0.447,0.14,2.223,2.196,0.05,-2.139,0.008,0.003
spectiv,8 Dec 2017,31 Dec 2017,23.0,165.0,1,entertainment,8,7605767.0,10563565.0,0.72,0.5,N/A,3,3329,N/A,N/A,-0.966,118105,0.045,0.076,1.209,1.165,-0.055,1.335,0.005,0.003
wetrust,2 Mar 2017,14 Apr 2017,43.0,426.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,5,10,N/A,N/A,0.305,165713,0.24,0.197,3.128,3.105,-0.023,-0.868,0.007,-0.013
eboost,13 Sep 2016,25 Oct 2016,42.0,597.0,12,other,N/A,N/A,N/A,N/A,0.2,N/A,0,N/A,N/A,N/A,-0.126,300469,0.238,0.133,2.105,2.09,0.091,4.206,0.013,0.005
bitjob,12 Sep 2017,13 Oct 2017,31.0,244.0,12,saas,26,2726424.0,11854017.0,0.23,0.39,2191,2,6897,N/A,N/A,-0.733,67138,-0.152,0.142,2.26,2.249,-0.174,0.13,0.012,-0.001
escroco,30 Oct 2017,28 Nov 2017,29.0,198.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,30.9,515908,0.173,0.03,0.473,0.46,-0.196,-2.346,0.015,0.019
peerguess,28 Oct 2017,09 Dec 2017,42.0,187.0,12,saas,8,N/A,N/A,N/A,N/A,1055,0,2050,N/A,N/A,0.0,42120,-0.235,-0.063,-0.997,-1.014,-0.228,16.028,0.017,0.033
solomonexchange,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hackspacecapital,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
impakfinance,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
modum.io,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
detectortoken,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
silentnotary,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
intelligenttradingtech,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kybernetwork,31 Aug 2017,15 Sep 2017,15.0,272.0,7,blockchain,10,46000000.0,46000000.0,1.0,0.41,11207,30,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kickico,29 Aug 2017,16 Sep 2017,18.0,271.0,2,saas,16,21581925.0,21581925.0,1.0,0.08,6000,23,23,N/A,N/A,2.103,29279,-0.114,-0.126,-2.002,-2.029,0.196,-1.947,0.001,0.0
smartinvestmentfundtoken,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
trackr,16 Aug 2017,15 Sep 2017,30.0,272.0,4,blockchain,3,28879811.0,N/A,N/A,0.05,N/A,0,N/A,N/A,N/A,-0.057,12612,0.307,0.176,2.796,2.781,-0.059,0.51,0.039,0.087
facecoin,N/A,N/A,N/A,N/A,12,other,5,N/A,N/A,N/A,N/A,N/A,3,560,N/A,N/A,0.0,4779,0.207,0.119,1.893,1.885,-0.591,-33.902,0.275,0.481
icobox,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
social(scl),N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
enigmacatalyst,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ahoolee,28 Aug 2017,11 Sep 2017,14.0,276.0,2,ecommerce,8,N/A,10000000.0,N/A,0.4,N/A,6,6665,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stuffgogo,12 Aug 2017,8 Sep 2017,27.0,279.0,1,saas,3,23975.0,N/A,0.0,0.03,57,1,4072,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
prospector,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
onegram,27 May 2017,24 Sep 2017,120.0,263.0,12,blockchain,7,N/A,N/A,0.22,41.66,N/A,3,1299,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
filecoin,10 Aug 2017,10 Sep 2017,31.0,277.0,1,saas,13,257000000.0,257000000.0,1.0,0.75,N/A,40,22551,N/A,N/A,14.333,296217,0.236,0.134,2.133,2.091,-0.162,-1.662,0.0,0.002
alpencoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hubii,N/A,N/A,N/A,N/A,12,other,2,7130256.0,50930400.0,0.14,0.33,1278,5,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
worldwideanonymousmessaging,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
indorse,8 Aug 2017,8 Sep 2017,31.0,279.0,7,saas,19,9247392.0,14915148.0,0.62,0.31,12563,0,804,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
finshicapital,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
moeda,28 Jul 2017,28 Aug 2017,31.0,290.0,10,fintech,8,N/A,N/A,N/A,1.0,2747,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
