coin,N_google_news
bitdice,3
aventus,1
enigmacatalyst,N/A
ahoolee,N/A
stuffgogo,N/A
prospector,N/A
rivetz,1
onegram,N/A
filecoin,N/A
fujinto,1
alpencoin,N/A
hubii,N/A
revain,1
substratum,2
worldwideanonymousmessaging,N/A
coss,2
indorse,N/A
viberate,7
finshicapital,N/A
moeda,N/A
atbcoin,3
xplay,N/A
dmarket,3
corion,N/A
dimcoin,8
opus,1
paquarium,N/A
agrello,1
tierion,1
blocktix,1
monsterbyte,N/A
coindash,N/A
district0xnetwork,N/A
suncontract,1
fundyourselfnow,0
11.97,N/A
blocktix,1
rootproject,N/A
trueflip,N/A
geofounders,N/A
primalbase,N/A
dent,1
eros,N/A
skincoin,7
gilgam,N/A
gilgam.es,N/A
pillar,1
coindash,N/A
sumerchain,N/A
mothership,1
bitquence,N/A
pressone,N/A
sonm,9
orocrypt,N/A
fuck,N/A
tezos,N/A
insurex,N/A
nimiq,N/A
atbcoin,3
leviarcoin,N/A
onplace,N/A
polybius,5
santiment,N/A
openanx,N/A
rialto,N/A
starta,7
crypviser,N/A
rialto.ai,N/A
encryptotel,N/A
adex,2
blockpool,1
dcorp,3
air,N/A
21million,N/A
silvercoin,N/A
idice,N/A
octanox,N/A
wagerr,1
cryptoping,8
nvo,N/A
tenx,3
masknetwork,N/A
omisego,1
footballcoin,N/A
civic,6
status,3
internetofcoins,N/A
monaco,4
bidlend,N/A
minexcoin,N/A
superdao,N/A
bancor,10
aira,N/A
zrcoin,7
ecobit,2
cofound.it,1
voise,6
patientory,1
embermine,N/A
adel,N/A
basicattentiontoken,N/A
exscudo,N/A
mysteriumnetwork,N/A
suretly,1
veritaseum,1
metal,0
mobilego,2
storj,1
e4row,N/A
vivacoin,N/A
aragon,1
bitcoingrowthfund,N/A
peerplays,1
ethbits,1
legendsroom,N/A
boscoin,5
nexxus,N/A
quantumresistantledger,N/A
tokencard,1
creativechain,N/A
apptrade,N/A
lunyr,1
backtoearth,N/A
taas,4
humaniq,10
gnosis,2
iex.ec,N/A
wetrust,1
blockchaincapital,N/A
aeternity,1
cosmosnetwork,N/A
cosmos,N/A
matchpool,1
equibit,N/A
chainofpoints,N/A
cashscripter,N/A
qtum,1
edgeless,1
lykke,N/A
augmentors,N/A
lykke(2ndround),N/A
contingency,N/A
etheroll,0
melon,1
chronobank,7
dfinity,N/A
tokes,1
wings,1
betking,N/A
darcrus,1
blockcdn,1
ether.camp,N/A
virtualaccelerator,N/A
mysterium(1stround),N/A
vdice,N/A
ark,1
golos,1
incent,1
beyondthevoid,N/A
massnetwork,N/A
arcadecity,N/A
etcwin,N/A
komodo,1
golem,1
kibolotto,N/A
decent,7
synereo,1
lykke(1stround),N/A
singulardtv,1
iconomi,2
firstblood,1
antshares,N/A
metaverse,N/A
blockpay,2
elastic,N/A
heat,N/A
icoo,N/A
xaurum,N/A
stratis,N/A
breakoutcoin,N/A
waves,N/A
rise,N/A
plutus,N/A
mycelium(2ndround),N/A
thedao,N/A
projectdecorum,N/A
ionomy,N/A
digixglobal,N/A
digixdao,1
lisk,N/A
obits,N/A
iota,3
augur,1
spellsofgenesis,N/A
factom,N/A
neucoin,N/A
dacplay,N/A
getgems,N/A
muse,N/A
supernet,N/A
ethereum,N/A
storjcoinx,N/A
swarm,N/A
maidsafecoin,N/A
counterparty,N/A
