coin,start1,end1,duration1,age1,start3,end3,duration3,age3,start4,end4,duration4,age4,start5,end5,duration5,age5,country1,country2,country3,country5,industry1,industry2,industry4,team1,team2,team3,team4,team5,raised1,raised2,raised4,raised5,hardcap1,hardcap2,hardcap4,hardcap5,success1,success2,success4,price1,price2,price4,price5,telegram1,telegram2,telegram4,N_google_news,N_twitter,hype4,risk4,ret_day1,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
friendz,1 Mar 2018,20 Mar 2018,19.0,86.0,N/A,N/A,N/A,N/A,01 Mar 2018,21 Mar 2018,20.0,85.0,01 Mar 2018,21 Mar 2018,20.0,85.0,switzerland,italy,N/A,switzerland,business services,marketing,marketing&advertising,18,3,N/A,15,13,27525000.0,13754758.0,13755000.0,26500000.0,N/A,50300000.0,N/A,N/A,N/A,0.27,N/A,N/A,0.067,0.067,N/A,68853,68853,68853,8,55779,N/A,N/A,0.02,250482,0.157,0.065,1.024,1.036,-0.359,-2.217,0.002,0.003
locktrip,N/A,N/A,N/A,N/A,29 Oct 2017,30 Nov 2017,32.0,196.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bulgaria,bulgaria,N/A,N/A,N/A,N/A,N/A,16,N/A,20,N/A,N/A,N/A,4000000.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,0.891,169077,0.447,0.14,2.223,2.196,0.05,-2.139,0.008,0.003
spectiv,8 Dec 2017,31 Dec 2017,23.0,165.0,08 Dec 2017,29 Dec 2017,21.0,167.0,07 Dec 2017,28 Dec 2017,21.0,168.0,08 Dec 2017,31 Dec 2017,23.0,165.0,usa,N/A,usa,usa,entertainment,vr,gaming&vr,6,N/A,9,8,8,1000000.0,7605767.0,10000000.0,1000000.0,40000000.0,10600000.0,N/A,N/A,0.03,0.72,N/A,0.5,0.5,0.5,N/A,N/A,N/A,N/A,3,3329,N/A,N/A,0.017,118105,0.045,0.076,1.209,1.165,-0.055,1.335,0.005,0.003
wetrust,2 Mar 2017,14 Apr 2017,43.0,426.0,02 Mar 2017,14 Apr 2017,43.0,426.0,27 Feb 2017,12 Apr 2017,44.0,428.0,02 Mar 2017,14 Apr 2017,43.0,426.0,usa,N/A,(datamissing),usa,platform,N/A,insurance,8,N/A,12,8,9,4978366.0,N/A,4978000.0,4978366.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06,N/A,0.063,N/A,N/A,N/A,N/A,5,10,N/A,N/A,0.078,165713,0.24,0.197,3.128,3.105,-0.023,-0.868,0.007,-0.013
eboost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13 Sep 2016,25 Oct 2016,42.0,597.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gambling&betting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.175,300469,0.238,0.133,2.105,2.09,0.091,4.206,0.013,0.005
bitjob,12 Sep 2017,13 Oct 2017,31.0,244.0,12 Sep 2017,13 Oct 2017,31.0,244.0,31 Jul 2017,11 Oct 2017,72.0,246.0,12Sept2017,13Oct2017,N/A,N/A,israel,N/A,(datamissing),israel,internet,marketplace,recruitment&crowdsourcing,28,N/A,21,21,26,2700000.0,2726424.0,2700000.0,2700000.0,N/A,12000000.0,N/A,N/A,N/A,0.23,N/A,0.39,0.39,0.3,N/A,N/A,2191,2191,2,6897,N/A,N/A,0.104,67138,-0.152,0.142,2.26,2.249,-0.174,0.13,0.012,-0.001
escroco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30 Oct 2017,28 Nov 2017,29.0,198.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,investment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,3.19,515908,0.173,0.03,0.473,0.46,-0.196,-2.346,0.015,0.019
peerguess,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28 Oct 2017,09 Dec 2017,42.0,187.0,N/A,N/A,N/A,N/A,turkey,N/A,N/A,turkey,platform,N/A,financialservices,13,N/A,N/A,10,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1055,N/A,1055,0,2050,N/A,N/A,0.147,42120,-0.235,-0.063,-0.997,-1.014,-0.228,16.028,0.017,0.033
solomonexchange,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hackspacecapital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
impakfinance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
modum.io,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
detectortoken,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
silentnotary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
