0 Feb 26, 2018 0.04 0.04 0.04 0.04 168389000.0 0.0
1 Feb 27, 2018 0.04 0.04 0.03 0.03 80844200.0 0.0
2 Feb 28, 2018 0.03 0.04 0.03 0.03 41576700.0 0.0
3 Mar 01, 2018 0.03 0.04 0.03 0.04 110297000.0 0.0
4 Mar 02, 2018 0.04 0.04 0.03 0.04 48462800.0 0.0
5 Mar 03, 2018 0.04 0.04 0.03 0.03 19729600.0 0.0
6 Mar 04, 2018 0.03 0.03 0.03 0.03 16789300.0 0.0
7 Mar 05, 2018 0.03 0.03 0.03 0.03 11522700.0 0.0
8 Mar 06, 2018 0.03 0.03 0.03 0.03 14561100.0 0.0
9 Mar 07, 2018 0.03 0.03 0.02 0.03 11586800.0 0.0
10 Mar 08, 2018 0.03 0.03 0.02 0.02 7966150.0 0.0
11 Mar 09, 2018 0.02 0.03 0.02 0.03 14539300.0 0.0
12 Mar 10, 2018 0.03 0.03 0.02 0.02 12889800.0 0.0
13 Mar 11, 2018 0.02 0.03 0.02 0.03 21908000.0 0.0
14 Mar 12, 2018 0.03 0.04 0.03 0.04 62242000.0 0.0
15 Mar 13, 2018 0.04 0.05 0.03 0.04 198437000.0 0.0
16 Mar 14, 2018 0.04 0.04 0.03 0.03 68328000.0 0.0
17 Mar 15, 2018 0.03 0.04 0.03 0.03 59490900.0 0.0
18 Mar 16, 2018 0.03 0.03 0.03 0.03 19803900.0 135615000.0
19 Mar 17, 2018 0.03 0.03 0.03 0.03 13326500.0 121161000.0
20 Mar 18, 2018 0.03 0.03 0.02 0.03 25624500.0 104916000.0
21 Mar 19, 2018 0.03 0.04 0.03 0.03 42568700.0 121772000.0
22 Mar 20, 2018 0.03 0.04 0.03 0.04 25236400.0 128889000.0
23 Mar 21, 2018 0.04 0.04 0.03 0.04 24573900.0 143372000.0
24 Mar 22, 2018 0.04 0.04 0.03 0.03 15066800.0 139450000.0
25 Mar 23, 2018 0.03 0.04 0.03 0.04 58815100.0 130209000.0
26 Mar 24, 2018 0.04 0.04 0.04 0.04 55036800.0 151987000.0
27 Mar 25, 2018 0.04 0.04 0.03 0.04 20072600.0 146570000.0
28 Mar 26, 2018 0.04 0.04 0.03 0.03 16334600.0 144568000.0
29 Mar 27, 2018 0.03 0.03 0.03 0.03 16174900.0 135108000.0
