coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
bitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,22,41,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ethereum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,36,N/A,N/A,N/A,0.0,164329,-0.01,-0.06,-0.95,-1.0,0.005,-0.2,0.008,0.004
ripple,N/A,N/A,N/A,N/A,1,other,7,N/A,N/A,N/A,N/A,4,15,N/A,N/A,N/A,0.0,0.0,0.06,0.11,1.73,1.67,-0.096,-0.135,0.006,0.009
bitcoin cash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eos,11 Jun 2017,26 Jun 2017,15.0,338.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,55121,40,N/A,N/A,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.075,1.325,0.014,0.016
litecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,3,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cardano,N/A,N/A,N/A,N/A,6,other,2,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,0.0,50068700,0.17,0.21,3.37,3.32,0.185,0.319,0.017,0.017
stellar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,23,12,N/A,N/A,N/A,0.0,30316,-0.04,0.02,0.33,0.24,-0.085,-0.961,0.007,0.02
iota,24 Nov 2017,20 Dec 2017,26.0,161.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,8,N/A,N/A,N/A,0.0,25425600,-0.2,0.12,1.83,1.76,0.07,-0.191,0.007,0.008
tron,07 Sep 2017,08 Sep 2017,1.0,264.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0019,100000,31,N/A,N/A,N/A,0.046,48512,0.15,0.09,1.5,1.46,-0.073,2.187,0.026,0.025
neo,8 Aug 2017,7 Sep 2017,30.0,265.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,32,318875,N/A,N/A,17.616,1349,0.12,0.08,1.33,1.3,0.04,-0.665,0.017,0.006
tether,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,58,N/A,N/A,N/A,0.0,6,0.04,0.02,0.37,0.28,0.004,-0.079,0.0,0.0
monero,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,0.0,246540,0.01,0.1,1.54,1.48,0.001,-0.809,0.006,0.005
dash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,0.0,15422,0.28,0.14,2.23,2.21,-0.22,-0.834,0.009,0.003
nem,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,22,5,N/A,N/A,N/A,0.0,65525,-0.26,-0.08,-1.29,-1.38,0.124,1.18,0.01,0.006
vechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,0.0,7478420,-0.34,0.09,1.49,1.44,0.063,-0.345,0.018,0.02
ethereum classic,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
binance coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bytecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
qtum,12 Mar 2017,17 Mar 2017,5.0,439.0,7,blockchain,18,15000000.0,N/A,1.0,0.3,14091,9,163767,N/A,N/A,19.633,11221600,0.23,0.06,0.98,0.93,0.071,0.623,0.008,0.005
omisego,23 Jun 2017,23 Jul 2017,30.0,311.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,13,275336,N/A,N/A,1.533,750698,0.37,0.31,4.86,4.82,-0.059,-1.101,0.016,0.004
icon,22 Sep 2017,22 Sep 2017,0.0,250.0,8,transportation,41,42750000.0,42800000.0,1.0,0.11,21035,30,102251,N/A,N/A,3.519,71509,0.34,0.32,5.1,5.05,-0.086,-1.848,0.017,0.018
zcash,N/A,N/A,N/A,N/A,1,other,1,N/A,N/A,N/A,N/A,6,1,N/A,N/A,N/A,0.0,2532790,-0.21,-0.12,-1.89,-1.91,-0.083,-0.69,0.002,0.004
lisk,N/A,N/A,N/A,N/A,5,other,5,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,0.0,222502,0.1,0.15,2.34,2.32,-0.076,-1.228,0.013,0.007
zilliqa,27 Dec 2017,04 Jan 2018,8.0,146.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0038,30058,30,N/A,N/A,N/A,34.8,4921770,-0.37,-0.14,-2.21,-2.3,-0.358,-1.883,0.002,0.002
ontology,N/A,N/A,N/A,N/A,12,blockchain,N/A,N/A,N/A,N/A,0.2,30417,2,N/A,N/A,N/A,13.2,150428000,0.04,0.22,3.52,3.55,-0.491,-1.929,0.016,0.017
aeternity,29 May 2017,19 Jun 2017,21.0,345.0,5,saas,15,24426689.0,N/A,N/A,0.28,N/A,4,278,N/A,N/A,1.484,1518,0.39,0.09,1.42,1.42,0.026,0.393,0.017,0.009
bitcoin gold,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x,15 Aug 2017,15 Sep 2017,31.0,257.0,1,saas,6,24000000.0,24000000.0,1.0,0.07,N/A,8,43765,N/A,N/A,2.206,5232600,0.23,0.12,1.97,1.97,-0.256,-1.107,0.016,0.011
decred,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,31,N/A,N/A,N/A,0.0,127149,0.27,0.13,2.11,2.11,-0.153,-0.179,0.01,0.005
bytom,20 Jun 2017,20 Jul 2017,30.0,314.0,3,saas,5,22554000.0,N/A,N/A,0.05,N/A,2,17772,N/A,N/A,1.256,7543670,0.18,0.05,0.77,0.77,-0.084,-1.893,0.013,0.01
