morpheus-network,22 Mar 2018,22 Apr 2018,31.0,46.0,12,other,12,9883347.0,17969722.0,0.55,0.45,12073,0,5790,0.64,-0.104,193829,0.79,1.36,2.72,2.72,-0.196,nan,0.024
dadi,29 Jan 2018,29 Jan 2018,0.0,129.0,4,fintech,15,29000000.0,29000000.0,1.0,0.5,22089,1,31672,0.38,-0.112,2381560,-0.21,-0.05,-0.8,-0.8,0.009,nan,-0.005
selfkey,14 Jan 2018,14 Jan 2018,0.0,144.0,7,fintech,48,21776392.0,21776392.0,1.0,0.02,11273,1,0,0.74,2.327,31248100,-0.52,-0.26,-4.06,-4.06,-0.257,nan,-0.013
agrello,16 Jul 2017,17 Aug 2017,32.0,294.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4820,1,14946,0.8,-0.284,82770,-0.06,-0.0,-0.03,-0.02,-0.058,-3.347,0.005
karma,29 Nov 2017,15 Dec 2017,16.0,174.0,2,fintech,15,10000000.0,10000000.0,1.0,0.01,1219,1,4210,0.44,5.911,150439,-0.01,-0.17,-2.67,-2.67,-0.367,nan,-0.007
daostack,8 May 2018,7 Jun 2018,30.0,0.0,7,transportation,9,30000000.0,30000000.0,1.0,1.0,24069,9,5766,0.68,0.31,1927100,-0.36,-2.88,-5.75,-5.75,0.306,nan,-0.035
covesting,24 Nov 2017,15 Jan 2018,52.0,143.0,7,saas,12,18750000.0,18750000.0,1.0,2.56,8919,9,10122,0.82,0.207,328108,-0.21,-0.12,-1.95,-1.95,-0.248,nan,-0.005
swissborg,7 Dec 2017,10 Jan 2018,34.0,148.0,6,blockchain,13,50000000.0,50000000.0,1.0,0.1,4757,10,11176,0.3,0.028,115322,-0.35,-0.18,-2.92,-2.92,-0.233,nan,-0.007
sureremit,10 Jan 2018,10 Feb 2018,31.0,117.0,1,saas,11,10000000.0,10000000.0,1.0,1.0,2071,1,4429,0.34,-0.963,35294,-0.22,0.02,0.31,0.31,-0.546,nan,0.004
te-food,22 Feb 2018,22 Mar 2018,28.0,77.0,6,fintech,19,19100000.0,19100000.0,1.0,0.05,10265,1,10033,0.5,-0.448,302268,-0.04,0.09,1.4,1.4,-0.202,nan,0.002
remme,13 Feb 2018,22 Feb 2018,9.0,105.0,7,saas,20,20000000.0,20000000.0,1.0,0.04,16348,2,5884,0.74,-0.209,587552,-0.34,-0.0,-0.05,-0.05,0.046,nan,0.001
latoken,22 Aug 2017,10 Oct 2017,49.0,240.0,7,fintech,35,18880673.0,40171645.0,0.47,0.3,5539,1,8053,0.44,-0.058,163778,-0.05,0.11,1.73,1.73,-0.048,nan,0.005
unibright,20 Apr 2018,20 May 2018,30.0,18.0,5,fintech,13,13542375.0,13542375.0,1.0,0.14,10235,0,5271,0.24,0.384,2400200,-1.35,-2.34,-4.68,-4.68,-0.883,nan,-0.043
indahash,29 Nov 2017,20 Dec 2017,21.0,169.0,5,saas,15,42715825.0,66743477.0,0.64,0.24,11638,9,9855,0.84,1.561,3113160,-0.2,-0.11,-1.73,-1.73,-0.326,nan,-0.011
smartlands,2 Nov 2017,20 Nov 2017,18.0,199.0,12,fintech,11,1753698.0,25052829.0,0.07,1.0,1695,1,1968,0.68,-0.803,102013,0.24,0.16,2.52,2.52,0.211,nan,0.046
