coin,N_google_news
bankera,0
lemochain,0
key,1
kwhcoin,0
sphre-air,0
joint-ventures,0
chex,0
mir-coin,0
divi,1
rocket-pool,0
sharpay,1
xtrd,0
incodium,0
zengold,0
agrolot,0
bitnation,0
amo-coin,0
record,0
future1coin,2
gazecoin,0
contractnet,1
budbo,0
karma,0
alttex,0
pecunio,0
iqeon,0
hybrid-block,0
consentium,0
simdaq,0
blockpass,1
starcoin,0
able,0
centaure,0
nuggets,0
stex,0
kingxchain,0
minex,1
shping,3
indicoin,1
hero,0
fapcoin,0
plexcoin,0
etherecash,0
salpay,0
saifu,0
internxt,0
solomon-exchange,0
kybernetwork,0
kickico,0
smart-investment-fund-token,0
trackr,0
propy,0
bitdice,1
aventus,0
enigma-catalyst,1
ahoolee,0
stuffgogo,1
rivetz,0
onegram,10
filecoin,0
fujinto,0
revain,2
substratum,0
coss,2
indorse,0
viberate,0
finshi-capital,1
moeda,3
atb-coin,3
dmarket,1
dimcoin,0
opus,1
paquarium,1
agrello,0
tierion,3
suncontract,7
fundyourselfnow,1
blocktix,1
rootproject,2
primalbase,2
dent,1
skincoin,7
gilgam,0
pillar,1
coindash,0
mothership,3
bitquence,8
sonm,1
orocrypt,1
tezos,1
insurex,1
nimiq,1
onplace,0
polybius,1
santiment,1
openanx,2
starta,1
crypviser,7
encryptotel,1
adex,1
blockpool,8
dcorp,1
21-million,1
idice,9
wagerr,1
cryptoping,10
nvo,1
tenx,1
omisego,1
civic,5
status,1
monaco,1
bancor,7
zrcoin,6
ecobit,0
cofound.it,2
voise,1
patientory,3
embermine,0
basic-attention-token,5
exscudo,1
mysterium-network,8
suretly,1
veritaseum,3
metal,1
mobilego,6
storj,3
e4row,4
aragon,10
peerplays,7
ethbits,2
boscoin,1
tokencard,6
lunyr,0
back-to-earth,1
taas,0
humaniq,2
gnosis,0
wetrust,1
blockchain-capital,1
aeternity,0
matchpool,2
equibit,1
qtum,1
edgeless,1
augmentors,1
etheroll,1
melon,5
chronobank,1
tokes,1
wings,0
betking,4
darcrus,10
blockcdn,2
vdice,1
ark,0
golos,1
incent,1
beyond-the-void,0
arcade-city,1
komodo,1
golem,2
decent,0
synereo,1
singulardtv,7
iconomi,1
blockpay,1
waves,1
rise,1
plutus,1
project-decorum,2
digixdao,1
iota,0
augur,1
neucoin,0
