['xyo-network', '20 Mar 2018', '21 May 2018', 62.0, 185.0, 'N/A', 'N/A', 'N/A', 'N/A', '20 Mar 2018', '20 May 2018', 61.0, 186.0, '20 Mar 2018', '20 May 2018', 61.0, 186.0, 'usa', 'N/A', 'N/A', 'usa', 'N/A', 'blockchain service', 'blockchaininfrastructure', 25, 'N/A', 'N/A', 19, 13, 28, 11951000.0, 12000000.0, 12000000.0, 11951000.0, 47804000.0, 48000000.0, 48000000.0, 336000.0, 48000000.0, 0.25, 0.25, 0.25, 0.007, 0.0072, 0.006, 0.007, 'N/A', 'N/A', 1562, 13032, 0, 7410, 1.9, 161.0, 'VeryHigh', 'Medium', 'N/A', 0.006, 245464, -0.081, -0.086, -1.37, -1.404, 0.225, 0.62, -0.001, -0.002]
['poa-network', '17 Nov 2017', '17 Nov 2017', 0.0, 370.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '17 Nov 2017', '17 Nov 2017', 0.0, 370.0, 'usa', 'N/A', 'N/A', 'usa', 'N/A', 'N/A', 'N/A', 19, 'N/A', 'N/A', 'N/A', 15, 51, 12500000.0, 'N/A', 'N/A', 12500000.0, 12500000.0, 'N/A', 'N/A', 12500000.0, 'N/A', 1.0, 'N/A', 'N/A', 0.072, 'N/A', 'N/A', 0.0724, 'N/A', 'N/A', 'N/A', 'N/A', 0, 318, 2.3, 311.0, 'N/A', 'N/A', 0.62, 0.634, 79376200, -0.336, 0.061, 0.971, 0.939, -0.144, -1.661, -0.007, -0.007]
['ttc-protocol', '18 Apr 2018', '18 May 2018', 30.0, 188.0, '18 Apr 2018', '18 May 2018', 30.0, 188.0, '18 Apr 2018', '18 May 2018', 30.0, 188.0, '18 Apr 2018', '18 May 2018', 30.0, 188.0, 'british virgin islands', 'N/A', 'britishvirginislands', 'britishvirginislands', 'N/A', 'protocol', 'socialmedia&communication', 19, 'N/A', 12, 16, 13, 19, 35000000.0, 19110000.0, 9638000.0, 19110000.0, 'N/A', 3800000.0, 21400000.0, 4000.0, 'N/A', 'N/A', 5.03, 0.45, 0.175, 0.17, 0.131, 0.16, 'N/A', 65946, 65946, 65946, 0, 18091, 3.0, 131.0, 'Medium', 'Medium', 'N/A', 0.052, 700206, -0.03, 0.09, 1.43, 1.373, 0.418, 2.242, -0.001, -0.002]
['litecoin-cash', '2 Apr 2018', '1 Jul 2018', 90.0, 144.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '02 Apr 2018', '01 Jul 2018', 90.0, 144.0, 'uk', 'N/A', 'N/A', 'uk', 'N/A', 'N/A', 'N/A', 1, 'N/A', 'N/A', 'N/A', 3, 4, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1.6, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 4.71, 1828460, -0.119, -0.065, -1.033, -1.046, -0.572, -5.421, -0.012, -0.012]
['jibrel-network', '27 Nov 2017', '1 Jan 2018', 35.0, 325.0, '27 Nov 2017', '27 Dec 2017', 30.0, 330.0, '25 Nov 2017', '26 Dec 2017', 31.0, 331.0, '27 Nov 2017', '01 Jan 2018', 35.0, 325.0, 'switzerland', 'registered company: jibrel network (switzerland)', 'switzerland', 'switzerland', 'N/A', 'trading', 'investment', 12, 'N/A', 9, 14, 9, 'N/A', 30000000.0, 30000000.0, 30000000.0, 'N/A', 30000000.0, 30000000.0, 50000000.0, 'N/A', 'N/A', 1.0, 1.0, 0.6, 0.25, 0.25, 0.25, 0.25, 'N/A', 'N/A', 'N/A', 5714, 0, 6455, 1.4, 63.0, 'High', 'Medium', 'N/A', 0.422, 10089800, 0.06, -0.099, -1.565, -1.602, -0.284, -2.449, -0.005, -0.005]
['qlc-chain', '27 Dec 2017', '27 Jan 2018', 31.0, 299.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '27 Dec 2017', '27 Jan 2018', 31.0, 299.0, 'singapore', 'N/A', 'N/A', 'singapore', 'N/A', 'N/A', 'N/A', 14, 'N/A', 'N/A', 'N/A', 7, 42, 19000000.0, 'N/A', 'N/A', 19000000.0, 34970.2, 'N/A', 'N/A', 10000.0, 'N/A', 543.32, 'N/A', 'N/A', 0.3497, 'N/A', 'N/A', 0.1, 0.03497, 'N/A', 'N/A', 'N/A', 0, 23499, 1.8, 136.0, 'N/A', 'N/A', 'N/A', 0.29, 9911000, 0.182, 0.031, 0.485, 0.461, -0.291, -2.661, -0.003, -0.003]
['deepbrain-chain', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '15 Dec 2017', '15 Dec 2017', 0.0, 342.0, 'N/A', 'N/A', 'N/A', 'N/A', 'singapore', 'singapore', 'N/A', 'N/A', 'N/A', 'artificial intelligence', '', 5, 'N/A', 'N/A', 'N/A', 'N/A', 9, 'N/A', 11755200.0, 11755200.0, 'N/A', 5000000.0, 11800000.0, 'N/A', 'N/A', 1490760.0, 'N/A', 1.0, 'N/A', 'N/A', 0.0158, 0.016, 'N/A', 'N/A', 2987, 11872, 11872, 0, 'N/A', 'N/A', 'N/A', 'High', 'N/A', 'N/A', 0.092, 18387700, 0.288, 0.086, 1.362, 1.34, -0.204, -1.615, -0.004, -0.004]
['graft', '18 Jan 2018', '18 Feb 2018', 31.0, 277.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'usa', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 16, 'N/A', 'N/A', 'N/A', 'N/A', 4, 3000000.0, 'N/A', 'N/A', 'N/A', 25000000.0, 'N/A', 'N/A', 'N/A', 10870000.0, 0.12, 'N/A', 'N/A', 0.28, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0, 3283, 3.8, 291.0, 'N/A', 'N/A', 'N/A', 0.043, 40067, -0.305, -0.006, -0.101, -0.132, 0.099, 0.76, -0.001, -0.001]
['zen-protocol', '30 Nov 2017', '30 Dec 2017', 30.0, 327.0, 'N/A', 'N/A', 'N/A', 'N/A', '29 Nov 2017', '29 Dec 2017', 30.0, 328.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'israel', 'N/A', 'N/A', 'N/A', 'ios', 'financialservices', 'N/A', 8, 'N/A', 'N/A', 'N/A', 'N/A', 46000000.0, 14632373.0, 46368226.0, 46000000.0, 46000000.0, 14600000.0, 33540000.0, 'N/A', 'N/A', 1.0, 1.0, 1.38, 3.8683, 3.86, 2.795, 'N/A', 'N/A', 4919, 608, 4919, 0, 2718, 1.8, 97.0, 'Low', 'Medium', 'N/A', 0.764, 14109, -0.017, -0.121, -1.926, -1.966, -0.231, -2.391, -0.006, -0.006]
['decentbet', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '22 Sep 2017', '20 Oct 2017', 28.0, 398.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'gambling&betting', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.1, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0, 'N/A', 'N/A', 'N/A', 'Low', 'High', 'N/A', 0.182, 26234, -0.027, 0.147, 2.341, 2.322, -0.281, -2.918, 0.001, 0.002]
['ice-rock-mining', '20 Mar 2018', '25 May 2018', 66.0, 181.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '20 Mar 2018', '25 May 2018', 66.0, 181.0, 'ireland', 'N/A', 'N/A', 'ireland', 'N/A', 'N/A', 'N/A', 15, 'N/A', 'N/A', 'N/A', 14, 18, 'N/A', 'N/A', 'N/A', 6061241.0, 4310000.0, 'N/A', 'N/A', 4310000.0, 'N/A', 'N/A', 'N/A', 'N/A', 1.2, 'N/A', 'N/A', 0.3, 'N/A', 'N/A', 'N/A', 'N/A', 0, 2981, 2.5, 167.0, 'N/A', 'N/A', 'N/A', 0.29, 6038, -0.012, 0.086, 1.358, 1.323, -0.352, -3.46, 0.001, 0.001]
['divi', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '25 Oct 2017', '21 Nov 2017', 27.0, 366.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'masternode', 'banking&payments', 'N/A', 'N/A', 'N/A', 15, 'N/A', 'N/A', 'N/A', 2592064.0, 2592000.0, 'N/A', 'N/A', 2000000.0, 'N/A', 'N/A', 'N/A', 'N/A', 1.3, 'N/A', 'N/A', 0.62, 0.62, 'N/A', 'N/A', 'N/A', 1716, 'N/A', 0, 5411, 1.4, 131.0, 'Medium', 'Low', 'N/A', 0.008, 11780, 0.106, 0.84, 1.681, 1.641, 0.218, 1.607, -0.003, -0.003]
['ifoods-chain', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '25 May 2018', '08 Jun 2018', 14.0, 167.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'drugs&healthcare', 'N/A', 'N/A', 'N/A', 9, 'N/A', 'N/A', 'N/A', 'N/A', 10000000.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1039, 0, 83, 'N/A', 'N/A', 'Low', 'N/A', 'N/A', 0.003, 14621, 0.014, 0.109, 0.218, 0.168, 0.279, 2.01, -0.013, -0.013]
['winding-tree', '1 Feb 2018', '15 Feb 2018', 14.0, 280.0, '01 Feb 2018', '15 Feb 2018', 14.0, 280.0, 'N/A', 'N/A', 'N/A', 'N/A', '01 Feb 2018', '15 Feb 2018', 14.0, 280.0, 'switzerland', 'N/A', 'switzerland', 'switzerland', 'N/A', 'marketplace', 'N/A', 10, 'N/A', 4, 'N/A', 4, 15, 14895672.0, 14418196.0, 'N/A', 14500000.0, 'N/A', 10000000.0, 'N/A', 10000000.0, 'N/A', 'N/A', 1.44, 'N/A', 0.926, 1.05, 'N/A', 1.08, 'N/A', 'N/A', 1174, 'N/A', 0, 5233, 1.8, 144.0, 'N/A', 'N/A', 0.78, 0.182, 882, -0.076, -0.036, -0.564, -0.602, 0.114, 0.384, 0.007, 0.007]
['ink-protocol', '22 Jan 2018', '22 Jan 2018', 0.0, 304.0, '01 Feb 2018', '28 Feb 2018', 27.0, 267.0, '22 Jan 2018', '22 Feb 2018', 31.0, 273.0, 'N/A', 'N/A', 'N/A', 'N/A', 'usa', 'N/A', 'usa', 'N/A', 'N/A', 'blockchain service', 'financialservices', 15, 'N/A', 11, 'N/A', 11, 20, 15000000.0, 15000000.0, 15000000.0, 'N/A', 15000000.0, 15000000.0, 15000000.0, 15000000.0, 15000000.0, 1.0, 1.0, 1.0, 0.1421, 0.13, 0.14, 0.13, 'N/A', 7781, 2158, 7781, 0, 4967, 1.0, 66.0, 'Medium', 'N/A', 'N/A', 0.091, 280064, -0.225, -0.041, -0.655, -0.694, -0.187, -0.645, -0.004, -0.004]
['skrumble-network', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '05 May 2018', '07 May 2018', 2.0, 199.0, '05 May 2018', '05 May 2018', 0.0, 201.0, 'canada', 'N/A', 'N/A', 'toronto,canada', 'N/A', 'social network', 'computing&datastorage', 31, 'N/A', 'N/A', 'N/A', 25, 3, 'N/A', 16472800.0, 16472800.0, 16472800.0, 'N/A', 16500000.0, 15048000.0, 'N/A', 2490000.0, 'N/A', 1.0, 1.09, 'N/A', 0.0515, 0.05, 0.0515, 'N/A', 35205, 973, 35205, 0, 'N/A', 2.2, 107.0, 'Medium', 'Low', 'N/A', 0.096, 32789700, -0.173, -0.268, -4.257, -4.304, -0.088, -0.651, -0.014, -0.013]
['bezop', 'N/A', 'N/A', 'N/A', 'N/A', '20 Dec 2017', '10 Jan 2018', 21.0, 316.0, '19 Dec 2017', '09 Jan 2018', 21.0, 317.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'unitedkingdom', 'N/A', 'N/A', 'N/A', 'commerce&retail', 'N/A', 'N/A', 4, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 27619400.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.541, 'N/A', 'N/A', 'N/A', 'N/A', 16588, 0, 4636, 2.0, 122.0, 'Medium', 'Medium', 'N/A', 0.278, 281984, 0.086, 0.033, 0.525, 0.505, -0.095, -0.422, 0.004, 0.004]
