coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
beyond-the-void,1 Nov 2016,30 Nov 2016,29.0,723.0,5,other,3,29195634.0,88471618.0,0.33,0.01,N/A,1,5841,1.5,96.0,N/A,N/A,0.22,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
darcrus,21 Dec 2016,26 Dec 2016,5.0,697.0,12,other,3,29742.0,129313.0,0.23,0.02,2168,1,8994,1.6,89.0,N/A,N/A,0.4,0.05015,6268,0.361,0.165,2.626,2.594,0.296,3.074,0.029,0.036
synereo,18 Sep 2016,18 Oct 2016,30.0,766.0,12,telecommunications,1,4700000.0,N/A,N/A,0.19,N/A,1,25878,1.4,91.0,Medium,N/A,N/A,-0.98824,241,0.233,0.243,3.861,3.844,-0.073,-0.648,0.009,-0.001
golos,30 Oct 2016,02 Dec 2016,33.0,721.0,12,telecommunications,N/A,N/A,N/A,N/A,0.1,N/A,7,N/A,N/A,N/A,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
decent,11 Sep 2016,6 Nov 2016,56.0,747.0,6,gaming,31,24137000.0,24137000.0,1.0,0.1424,N/A,2,29641,3.0,176.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
inchain,26 Oct 2016,26 Nov 2016,31.0,727.0,12,insurance services,8,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bankcoin,5 Nov 2016,19 Dec 2016,44.0,705.0,10,other,4,1000000.0,6250000.0,0.16,0.25,1508,0,1216,N/A,N/A,Medium,N/A,0.28,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
blockcdn,25 Nov 2016,25 Dec 2016,30.0,699.0,12,other,5,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ebitz,26 Nov 2016,28 Nov 2016,2.0,726.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,VeryHigh,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
mercatox,19 Nov 2016,19 Dec 2016,30.0,705.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
egaas,14 Nov 2016,14 Dec 2016,30.0,710.0,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
vdice,15 Nov 2016,15 Dec 2016,30.0,709.0,12,other,N/A,3000000.0,N/A,N/A,0.0776,N/A,0,5367,1.0,107.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
golem,13 Nov 2016,13 Nov 2016,0.0,741.0,5,other,15,8000000.0,8000000.0,1.0,0.0101,N/A,1,146623,1.7,139.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ark,05 Nov 2016,09 Dec 2016,34.0,715.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,N/A,1,N/A,N/A,N/A,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
nodio,31 Oct 2016,28 Nov 2016,28.0,726.0,12,blockchain,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
etcwin,15 Oct 2016,21 Nov 2016,37.0,733.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
komodo,15 Oct 2016,16 Nov 2016,32.0,738.0,5,other,N/A,1983781.0,N/A,N/A,0.376,N/A,1,94206,1.9,151.0,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bitgirls,02 Oct 2016,30 Oct 2016,28.0,755.0,12,telecommunications,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
singulardtv,2 Oct 2016,2 Oct 2016,0.0,783.0,1,other,1,7500000.0,N/A,N/A,0.015,N/A,0,37135,1.1,95.0,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
