coin,N_google_news
theta-token,0
power-ledger,1
kyber-network,1
genesis-vision,0
salt,1
enjin-coin,1
iexec-rlc,8
request-network,1
amo-coin,1
time-new-bank,1
xyo-network,2
poa-network,3
ttc-protocol,4
litecoin-cash,1
jibrel-network,0
qlc-chain,4
deepbrain-chain,2
graft,1
zen-protocol,1
decentbet,0
ice-rock-mining,1
divi,2
ifoods-chain,0
winding-tree,3
ink-protocol,0
skrumble-network,1
bezop,1
morpheus-labs,0
nebula-ai,0
silent-notary,1
the-abyss,1
travelflex,0
zap,1
fox-trading,0
fintrux-network,1
crowd-machine,1
insights-network,0
ip-exchange,0
sentinel-chain,5
ubcoin-market,0
coin-lion,0
lala-world,0
fire-lotto,1
bigbom,1
signals-network,4
pylon-network,0
engagement-token,0
bridge-protocol,0
wild-crypto,1
earth-token,1
joint-ventures,1
gold-bits-coin,0
paragon,1
apx,1
hubii-network,0
linker-coin,5
target-coin,1
phi-token,0
monster-byte,2
live-stars,1
fabric-token,1
mithril-ore,1
regalcoin,0
crystal-clear,0
300-token,0
iconic,0
mir-coin,0
game-stars,3
karatgold-coin,0
exchange-union,1
asura-coin,0
starcoin,0
menlo-one,1
hybrid-block,0
sphre-air,0
rocket-pool,0
solomon-exchange,0
smart-investment-fund-token,1
enigma-catalyst,0
finshi-capital,0
atb-coin,3
21-million,1
basic-attention-token,1
mysterium-network,4
back-to-earth,7
blockchain-capital,1
melon,5
beyond-the-void,0
arcade-city,1
project-decorum,1
neucoin,1
worldopo,2
betinreal,0
moozicore,0
securix,0
vegawallet,0
aen,0
joys,0
lvx,0
simplybrand,0
b21,0
cryptosoul,0
customcoin,0
geon,0
kryptoin,0
nhct,0
tanzō,0
alphax,0
eiplatform,0
moolyacoin,0
sportsfix,0
centaure,0
covex,1
datablockchain,0
gric,0
aclyd,0
bqt,0
cmc,0
creditcoin,0
icumulate,0
iou,0
oret,0
elisia,0
graphentech,0
jinbi,0
srt,0
vivalid,0
vosai,0
aceso,0
apollox,0
impala,0
influ,0
kasko2go,0
kimex,0
papusha,0
primary,0
snowdencoin,0
uptherium,0
venusenergy,0
bips,0
clarity,0
discoveryiot,0
pgf500,0
roc2,0
yappadappadoo,0
yondocoin,0
bonafi,0
coingrid,0
cryptolancers,0
hyperionx,0
inmax,0
ironx,0
milc,0
nonzero,0
pikcars,0
wom,0
block66,0
crowdtoken,0
crypstock,0
easyguide,0
eminent,0
ern,0
hara,0
hashbon,0
helix3,0
po8,0
povr,0
travelnote,0
winkpark,0
aircraft,0
bdxalliance,0
etainpower,0
iryo,0
uulala,0
bitney,0
custodi,0
perlin,0
shamrock,0
zensports,0
4artechnologies,0
börser,0
bytus,0
iam,0
lxdx,0
reme-coin,0
selfpay,0
shoppercoin,0
aigo,0
aiq,0
coinself,0
crypton,0
cryptoveno,0
deneum,0
nai,0
owndata,0
tipo,0
tunez,0
wisewolf,0
bancryp,0
blockhipo,0
bouncy,0
