['storm', '7 Nov 2017', '8 Dec 2017', 31.0, 489.0, '07 Nov 2017', '07 Dec 2017', 30.0, 490.0, 'N/A', 'N/A', 'N/A', 'N/A', '07 Nov 2017', '08 Dec 2017', 31.0, 489.0, 'usa&nofilter', 'N/A', 'usa', 'usa', 'N/A', 'collaboration', 'N/A', 14, 'N/A', 19, 'N/A', 8, 'N/A', 32000000.0, 30700000.0, 'N/A', 32000000.0, 100000000.0, 27600000.0, 'N/A', 'N/A', 'N/A', 0.32, 1.11, 'N/A', 0.0113, 0.0113, 'N/A', 0.0113, 'N/A', 1182, 2345, 'N/A', 0, 27065, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.016, 330757, 0.67, 0.151, 2.39, 2.375, -0.138, -0.793, 0.003, 0.003]
['genesis-vision', '15 Oct 2017', '15 Nov 2017', 31.0, 512.0, '15 Oct 2017', '15 Nov 2017', 31.0, 512.0, '13 Oct 2017', '13 Nov 2017', 31.0, 514.0, '15 Oct 2017', '15 Nov 2017', 31.0, 512.0, 'russia&nofilter', 'N/A', 'ireland', 'russia', 'N/A', 'trading', 'blockchaininfrastructure', 22, 'N/A', 10, 14, 10, 3, 2836724.0, 2800000.0, 2836724.0, 2836724.0, 31519155.6, 23000000.0, 23000000.0, 'N/A', 33000000.0, 0.09, 0.12, 0.12, 1.0, 1.0, 1.0, 1.0, 'N/A', 1182, 7821, 7821, 0, 21314, 3.45, 301.0, 'VeryHigh', 'Medium', 'N/A', 2.68, 683667, 0.386, 0.27, 4.287, 4.27, -0.083, -1.302, 0.006, 0.006]
['deepbrain-chain', '16 Sep 2018', '28 Nov 2018', 73.0, 134.0, 'N/A', 'N/A', 'N/A', 'N/A', '15 Dec 2017', '15 Dec 2017', 0.0, 482.0, 'N/A', 'N/A', 'N/A', 'N/A', 'singapore&nofilter', 'singapore', 'N/A', 'N/A', 'N/A', 'artificial intelligence', 'blockchaininfrastructure', 5, 'N/A', 'N/A', 'N/A', 'N/A', 9, 'N/A', 11800000.0, 11755200.0, 'N/A', 5000000.0, 11800000.0, 'N/A', 'N/A', 1980240.0, 'N/A', 1.0, 'N/A', 0.0075, 0.0158, 0.016, 'N/A', 'N/A', 1179, 10133, 10133, 0, 655, 3.45, 301.0, 'High', 'N/A', 'N/A', 0.092, 18387700, 0.288, 0.086, 1.362, 1.344, -0.178, -1.374, -0.002, -0.001]
['time-new-bank', '18 Nov 2017', '23 Nov 2017', 5.0, 504.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '14 Nov 2017', '21 Nov 2017', 7.0, 506.0, 'singapore&nofilter', 'N/A', 'N/A', 'singapore', 'N/A', 'marketplace', 'N/A', 10, 'N/A', 'N/A', 'N/A', 4, 'N/A', 8000000.0, 14400000.0, 'N/A', 8000000.0, 'N/A', 14400000.0, 'N/A', 1143.99, 'N/A', 'N/A', 1.0, 'N/A', 0.0203, 0.01705, 'N/A', 0.0171, 'N/A', 1179, 18301, 'N/A', 0, 15576, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.035, 10625600, 0.332, 0.198, 3.14, 3.124, -0.11, 0.604, 0.001, 0.001]
['poa-network', '17 Nov 2017', '17 Nov 2017', 0.0, 510.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '17 Nov 2017', '17 Nov 2017', 0.0, 510.0, 'usa&nofilter', 'N/A', 'N/A', 'usa', 'N/A', 'N/A', 'N/A', 20, 'N/A', 'N/A', 'N/A', 15, 51, 12500000.0, 'N/A', 'N/A', 12500000.0, 12500000.0, 'N/A', 'N/A', 12500000.0, 'N/A', 1.0, 'N/A', 'N/A', 0.072, 'N/A', 'N/A', 0.0724, 'N/A', 1179, 'N/A', 'N/A', 0, 303, 3.45, 301.0, 'N/A', 'N/A', 0.62, 0.634, 79376200, -0.336, 0.061, 0.971, 0.945, -0.217, -1.986, -0.004, -0.004]
['jibrel-network', '27 Nov 2017', '1 Jan 2018', 35.0, 465.0, '27 Nov 2017', '27 Dec 2017', 30.0, 470.0, '25 Nov 2017', '26 Dec 2017', 31.0, 471.0, '27 Nov 2017', '01 Jan 2018', 35.0, 465.0, 'switzerland&nofilter', 'role of token: utility', 'switzerland', 'switzerland', 'N/A', 'trading', 'blockchaininfrastructure', 12, 'N/A', 9, 14, 9, 'N/A', 30000000.0, 30000000.0, 30000000.0, 'N/A', 30000000.0, 30000000.0, 50000000.0, 'N/A', 'N/A', 1.0, 1.0, 0.6, 0.25, 0.25, 0.25, 0.25, 'N/A', 1179, 'N/A', 4404, 0, 6524, 3.45, 301.0, 'High', 'Medium', 'N/A', 0.422, 10089800, 0.06, -0.099, -1.565, -1.595, -0.184, -1.39, -0.002, -0.002]
['paragon', 'N/A', 'N/A', 'N/A', 'N/A', '15 Sep 2017', '15 Oct 2017', 30.0, 543.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'usa', 'usa', 'N/A', 'N/A', 'ios', 'N/A', 'N/A', 12, 12, 'N/A', 'N/A', 'N/A', 'N/A', 6000000.0, 'N/A', 'N/A', 'N/A', 100000000.0, 'N/A', 'N/A', 'N/A', 'N/A', 0.06, 'N/A', 'N/A', 1.0, 'N/A', 'N/A', 'N/A', 1179, 'N/A', 'N/A', 0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.65, 284896, -0.155, 0.01, 0.161, 0.146, 0.135, 1.776, 0.014, 0.014]
['qlc-chain', '27 Dec 2017', '27 Jan 2018', 31.0, 439.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '27 Dec 2017', '27 Jan 2018', 31.0, 439.0, 'singapore&nofilter', 'N/A', 'N/A', 'singapore', 'N/A', 'N/A', 'N/A', 14, 'N/A', 'N/A', 'N/A', 7, 42, 19000000.0, 'N/A', 'N/A', 19000000.0, 34970.2, 'N/A', 'N/A', 10000.0, 'N/A', 543.32, 'N/A', 'N/A', 0.3497, 'N/A', 'N/A', 0.1, 0.03497, 1179, 'N/A', 'N/A', 0, 24844, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.29, 9911000, 0.182, 0.031, 0.485, 0.465, -0.27, -2.339, -0.0, -0.0]
['btu-protocol', '7 Jun 2018', '30 Jun 2018', 23.0, 285.0, 'N/A', 'N/A', 'N/A', 'N/A', '07 Jun 2018', '30 Jun 2018', 23.0, 285.0, 'N/A', 'N/A', 'N/A', 'N/A', 'france&nofilter', 'N/A', 'N/A', 'france', 'N/A', 'N/A', 'financialservices', 20, 'N/A', 'N/A', 9, 5, 7, 5500000.0, 'N/A', 'N/A', 'N/A', 25000000.0, 'N/A', 37500000.0, 'N/A', 'N/A', 0.22, 'N/A', 'N/A', 0.75, 'N/A', 0.75, 0.75, 'N/A', 1179, 'N/A', 11328, 0, 1324, 3.45, 301.0, 'Low', 'N/A', 'N/A', 0.324, 1364002, -0.362, -2.871, -5.741, -5.781, -0.71, -6.036, -0.001, -0.001]
['amo-coin', '14 Jul 2018', '21 Jul 2018', 7.0, 264.0, '14 Jul 2018', '21 Jul 2018', 7.0, 264.0, 'N/A', 'N/A', 'N/A', 'N/A', '14 Jul 2018', '21 Jul 2018', 7.0, 264.0, 'singapore&nofilter', 'N/A', 'singapore', 'singapore', 'N/A', 'N/A', 'N/A', 64, 'N/A', 46, 'N/A', 48, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 2288000.0, 'N/A', 'N/A', 2080000.0, 'N/A', 'N/A', 'N/A', 'N/A', 0.0022, 'N/A', 'N/A', 0.002, 'N/A', 1179, 'N/A', 'N/A', 0, 1017, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.002, 6564, 0.219, 0.093, 1.476, 1.45, -0.238, -1.845, 0.004, 0.004]
