coin,bloxverse_yr,bloxverse_sa,bloxverse_qr,icorating_hype,icorating_risk,icobazaar,icomarks,icobench,success,return_day1,volume_day1,sharpe_annual
yobit,0.8,0.68,0.26,N/A,N/A,N/A,0.55,0.54,1.0,-1.0,0.0,-100.0
carry,0.7,0.64,0.26,N/A,N/A,N/A,0.8,0.56,0.95,-1.0,0.0,-100.0
jet8,0.86,0.6,0.8,N/A,N/A,0.8,N/A,N/A,0.91,-0.691,871036.0,-0.485
lendroid,0.94,0.82,0.82,0.5,N/A,0.72,N/A,0.52,0.09,-1.0,0.0,-100.0
imdex,0.68,0.54,0.48,N/A,N/A,N/A,0.63,N/A,1.0,-1.0,0.0,-100.0
webn,0.78,0.64,0.28,N/A,N/A,N/A,0.84,N/A,0.39,-1.0,0.0,-100.0
serenity,0.76,0.72,0.76,N/A,N/A,N/A,0.72,0.56,0.21,-1.0,0.0,-100.0
bftoken,0.76,0.66,0.72,N/A,N/A,0.78,0.75,0.64,1.0,-1.0,0.0,-100.0
provoco,0.78,0.78,0.54,0.7,0.5,N/A,N/A,N/A,0.2,-1.0,0.0,-100.0
marketspace,0.72,0.62,0.44,0.7,0.5,N/A,0.83,0.58,0.3,-1.0,0.0,-100.0
bitrewards,0.84,0.76,0.62,0.7,0.5,N/A,N/A,N/A,0.44,-0.785,130010.0,-0.738
datecoin,0.74,0.6,0.3,0.7,0.5,N/A,0.86,N/A,0.95,-1.0,0.0,-100.0
remme,0.96,0.7,0.88,0.7,0.5,0.92,N/A,N/A,1.0,-0.209,587552.0,-0.017
aidcoin,0.78,0.68,0.72,N/A,N/A,0.86,N/A,0.66,1.0,-1.0,0.0,-100.0
egretia,0.94,0.8,0.5,0.7,0.3,N/A,N/A,N/A,0.2,-1.0,0.0,-100.0
bubbletone,0.74,0.62,0.26,0.7,0.5,N/A,0.84,N/A,0.34,-1.0,0.0,-100.0
truegame,0.72,0.64,0.42,0.5,0.3,0.9,N/A,N/A,0.55,-1.0,0.0,-100.0
havven,0.88,0.86,0.84,0.7,0.5,N/A,N/A,N/A,1.0,-0.039,1203240.0,1.696
play2live,0.86,0.68,0.84,0.5,0.3,N/A,0.86,N/A,1.0,-1.0,0.0,-100.0
wepower,0.8,0.68,0.76,0.7,0.5,0.86,N/A,N/A,1.0,0.404,782690.0,-0.822
neuromation,0.78,0.68,0.72,0.7,0.5,N/A,0.88,N/A,1.0,-1.0,0.0,-100.0
